date, pm25, pm10, o3, no2, so2
2025/11/1, 50, 7, 22, 4, 
2025/11/2, 18, 5, 24, 8, 
2025/11/3, 11, 17, 12, 11, 
2025/11/4, 36, 25, 9, 11, 
2025/11/5, 47, 31, 5, 10, 
2025/11/6, 55, 25, , 10, 
2025/11/7, 57, 15, 1, 12, 
2025/11/8, 55, 19, 11, 9, 
2025/11/9, 58, 12, 15, 7, 
2025/11/10, 42, 14, 12, 10, 
2025/11/11, 35, 25, 3, 10, 
2025/11/12, 49, 28, 9, 13, 
2025/11/13, 54, 33, 1, 13, 
2025/11/14, 53, 44, 11, 13, 
2025/11/15, 66, 24, 14, 8, 
2025/11/16, 43, 7, 22, 6, 
2025/11/17, 22, 5, 12, 11, 
2025/11/18, 16, , , , 
2025/10/1, 50, 23, 24, 6, 
2025/10/2, 43, 15, 21, 7, 
2025/10/3, 44, 12, 27, 3, 
2025/10/4, 33, 5, 22, 1, 
2025/10/5, 11, 6, 16, 5, 
2025/10/6, 15, 9, 13, 5, 
2025/10/7, 19, 12, 17, 8, 
2025/10/8, 28, 12, 14, 6, 
2025/10/9, 29, 16, 19, 7, 
2025/10/10, 44, 16, 26, 5, 
2025/10/11, 45, 13, 24, 4, 
2025/10/12, 37, 12, 17, 4, 
2025/10/13, 33, 16, 20, 8, 
2025/10/14, 30, 16, 15, 9, 
2025/10/15, 32, 15, 17, 7, 
2025/10/16, 33, 14, 16, 9, 
2025/10/17, 29, 16, 22, 8, 
2025/10/18, 33, 13, 10, 8, 
2025/10/19, 32, 20, 18, 8, 
2025/10/20, 54, 10, 24, 4, 
2025/10/21, 21, 6, 17, 5, 
2025/10/22, 11, 5, 29, 3, 
2025/10/23, 9, 3, 27, 2, 
2025/10/24, 5, 4, 24, 2, 
2025/10/25, 7, 3, 25, 2, 
2025/10/26, 8, 3, 23, 2, 
2025/10/27, 7, 5, 25, 2, 
2025/10/28, 12, 8, 19, 9, 
2025/10/29, 12, 12, 27, 7, 
2025/10/30, 19, 18, 6, 12, 
2025/10/31, 33, 21, 23, 8, 
2025/7/1, 39, 22, 58, 5, 
2025/7/2, 45, 22, 40, 3, 
2025/7/3, 45, 18, 52, 5, 
2025/7/4, 46, 16, 58, 6, 
2025/7/5, 31, 12, 48, 3, 
2025/7/6, 22, 7, 25, 2, 
2025/7/7, 13, 7, 33, 3, 
2025/7/8, 13, 9, 35, 3, 
2025/7/9, 19, 16, 45, 6, 
2025/7/10, 28, 16, 40, 6, 
2025/7/11, 29, 11, 42, 4, 
2025/7/12, 21, 10, 41, 5, 
2025/7/13, 22, 10, 34, 3, 
2025/7/14, 24, 14, 34, 3, 
2025/7/15, 31, 15, 33, 2, 
2025/7/16, 34, 11, 38, 3, 
2025/7/17, 20, 10, 52, 5, 
2025/7/18, 20, 15, 46, 7, 
2025/7/19, 28, 11, 43, 4, 
2025/7/20, 24, 9, 31, 3, 
2025/7/21, 21, 7, 27, 1, 
2025/7/22, 11, 6, 35, 3, 
2025/7/23, 11, 10, 34, 5, 
2025/7/24, 17, 8, 32, 6, 
2025/7/25, 17, 10, 39, 4, 
2025/7/26, 25, 10, 27, 2, 
2025/7/27, 26, 7, 27, 2, 
2025/7/28, 18, 9, 32, 3, 
2025/7/29, 25, 11, 29, 4, 
2025/7/30, 25, 8, 29, 3, 
2025/7/31, 20, 8, 22, 3, 
2025/8/1, 17, 7, 26, 3, 
2025/8/2, 16, 7, 25, 2, 
2025/8/3, 19, 7, 23, 2, 
2025/8/4, 19, 13, 30, 4, 
2025/8/5, 24, 11, 36, 4, 
2025/8/6, 21, 14, 46, 6, 
2025/8/7, 24, 18, 60, 7, 
2025/8/8, 31, 21, , 7, 
2025/8/9, 37, 20, , 4, 
2025/8/10, 45, 19, , 6, 
2025/8/11, 45, 29, , 7, 
2025/8/12, 57, 38, , 9, 
2025/8/13, 64, 50, 64, 7, 
2025/8/14, 64, 41, 76, 7, 
2025/8/15, 67, 36, 49, 4, 
2025/8/16, 66, 19, 37, 2, 
2025/8/17, 49, 13, 39, 4, 
2025/8/18, 30, 17, 50, 7, 
2025/8/19, 28, 23, 41, 8, 
2025/8/20, 39, 21, 33, 6, 
2025/8/21, 46, 18, 36, 4, 
2025/8/22, 38, 11, 36, 4, 
2025/8/23, 18, 10, 38, 5, 
2025/8/24, 21, 12, 46, 6, 
2025/8/25, 23, 17, 45, 9, 
2025/8/26, 27, 18, 35, 4, 
2025/8/27, 41, 15, 30, 5, 
2025/8/28, 42, 8, 34, 2, 
2025/8/29, 15, 5, 26, 2, 
2025/8/30, 9, 5, 26, 4, 
2025/8/31, 10, 5, 24, 5, 
2025/9/1, 11, 6, 25, 2, 
2025/9/2, 8, 8, 25, 3, 
2025/9/3, 11, 8, 25, 4, 
2025/9/4, 12, 7, 25, 3, 
2025/9/5, 12, 6, 32, 4, 
2025/9/6, 12, 7, 29, 4, 
2025/9/7, 16, 14, 20, 7, 
2025/9/8, 26, 18, 29, 6, 
2025/9/9, 46, 9, 19, 5, 
2025/9/10, 20, 8, 26, 2, 
2025/9/11, 17, 6, 24, 3, 
2025/9/12, 10, 9, 28, 5, 
2025/9/13, 16, 6, 24, 1, 
2025/9/14, 13, 4, 20, 1, 
2025/9/15, 6, 7, 27, 1, 
2025/9/16, 11, 9, 27, 3, 
2025/9/17, 14, 15, 33, 8, 
2025/9/18, 22, 21, 37, 9, 
2025/9/19, 30, 22, 33, 8, 
2025/9/20, 37, 16, 28, 6, 
2025/9/21, 34, 4, 21, 2, 
2025/9/22, 11, 4, 16, 2, 
2025/9/23, 10, 7, 16, 4, 
2025/9/24, 19, 4, 9, 6, 
2025/9/25, 14, 6, 6, 6, 
2025/9/26, 18, 9, 11, 5, 
2025/9/27, 32, 11, 17, 4, 
2025/9/28, 36, 14, 22, 6, 
2025/9/29, 42, 23, 25, 7, 
2025/9/30, 57, 20, 20, 6, 
2025/4/1, 28, 15, 37, 2, 
2025/4/2, 38, 19, 39, 6, 
2025/4/3, 49, 21, 40, 11, 
2025/4/4, 46, 19, 43, 9, 
2025/4/5, 38, 13, 39, , 
2025/4/6, 29, 7, 37, 5, 
2025/4/7, 14, 16, 38, 9, 
2025/4/8, 26, 29, 41, 11, 
2025/4/9, 40, 27, 33, 9, 
2025/4/10, 46, 31, 39, 10, 
2025/4/11, 62, 27, 42, 10, 
2025/4/12, 52, 21, 37, 5, 
2025/4/13, 39, 11, 37, 5, 
2025/4/14, 30, 15, 29, 7, 
2025/4/15, 40, 15, 31, 6, 
2025/4/16, 33, 9, 26, 5, 
2025/4/17, 23, 8, 26, 2, 
2025/4/18, 27, 8, 34, 6, 
2025/4/19, 29, 10, 36, 6, 
2025/4/20, 28, 5, 30, 3, 
2025/4/21, 15, 7, 27, 6, 
2025/4/22, 14, 16, 34, 6, 
2025/4/23, 26, 9, 29, 3, 
2025/4/24, 17, 6, 27, 3, 
2025/4/25, 16, 11, 28, 3, 
2025/4/26, 39, 12, 39, 5, 
2025/4/27, 34, 12, 45, 7, 
2025/4/28, 25, 18, 51, 7, 
2025/4/29, 33, 23, 55, 8, 
2025/4/30, 42, 22, 51, 7, 
2025/5/1, 44, 19, 56, 7, 
2025/5/2, 41, 22, 38, 3, 
2025/5/3, 45, 15, 29, 2, 
2025/5/4, 33, 10, 28, 1, 
2025/5/5, 24, 14, 34, 3, 
2025/5/6, 24, 17, 38, 5, 
2025/5/7, 24, 22, 33, 4, 
2025/5/8, 36, 21, 41, 3, 
2025/5/9, 45, 14, 45, 6, 
2025/5/10, 26, 12, 43, 6, 
2025/5/11, 27, 10, 40, 4, 
2025/5/12, 19, 15, 49, 6, 
2025/5/13, 25, 22, 59, 7, 
2025/5/14, 38, 19, 42, 4, 
2025/5/15, 38, 16, 39, 6, 
2025/5/16, 23, 13, 41, 4, 
2025/5/17, 22, 14, 43, 2, 
2025/5/18, 37, 16, 46, 4, 
2025/5/19, 39, 23, 44, 4, 
2025/5/20, 66, 16, 34, 4, 
2025/5/21, 26, 12, , 4, 
2025/5/22, 32, 15, 36, 5, 
2025/5/23, 33, 12, 40, 4, 
2025/5/24, 22, 7, 32, 1, 
2025/5/25, 18, 8, 36, 2, 
2025/5/26, 18, 10, 36, 3, 
2025/5/27, 21, 8, 29, 2, 
2025/5/28, 19, 6, 33, 2, 
2025/5/29, 16, 9, 38, 5, 
2025/5/30, 22, 11, 43, 6, 
2025/5/31, 25, 14, 36, 3, 
2025/6/1, 29, 13, 27, 3, 
2025/6/2, 29, 10, 34, 2, 
2025/6/3, 21, 10, 34, 2, 
2025/6/4, 25, 8, 31, 1, 
2025/6/5, 17, 7, 24, 2, 
2025/6/6, 14, 6, 27, 1, 
2025/6/7, 11, 6, 27, , 
2025/6/8, 15, 7, 36, 2, 
2025/6/9, 22, 16, 48, 4, 
2025/6/10, 50, 23, 46, 3, 
2025/6/11, 64, 19, 50, 4, 
2025/6/12, 49, 24, 58, 5, 
2025/6/13, 54, 23, 53, 5, 
2025/6/14, 54, 25, 42, 4, 
2025/6/15, 60, 12, 39, 2, 
2025/6/16, 35, 13, 42, 5, 
2025/6/17, 30, 15, 56, 5, 
2025/6/18, 37, 18, 64, 5, 
2025/6/19, 52, 13, 39, 2, 
2025/6/20, 38, 14, 52, 4, 
2025/6/21, 31, 14, 56, 5, 
2025/6/22, 37, 17, 37, 2, 
2025/6/23, 45, 15, 42, 1, 
2025/6/24, 28, 13, 44, 4, 
2025/6/25, 23, 20, 43, 4, 
2025/6/26, 33, 13, 26, 2, 
2025/6/27, 25, 8, 35, 2, 
2025/6/28, 18, 8, 42, 4, 
2025/6/29, 22, 11, 43, 3, 
2025/6/30, 27, 19, 46, 6, 
2025/1/1, 138, 18, 30, 4, 
2025/1/2, 48, 6, 22, 7, 
2025/1/3, 20, 8, 16, 10, 
2025/1/4, 31, 12, 26, 5, 
2025/1/5, 47, 5, 31, 4, 
2025/1/6, 17, 3, 26, 3, 
2025/1/7, 9, 3, 23, 10, 
2025/1/8, 9, 6, 27, 4, 
2025/1/9, 24, 5, 24, 10, 
2025/1/10, 12, 13, 16, 11, 
2025/1/11, 45, 13, 20, 7, 
2025/1/12, 51, 13, 20, 14, 
2025/1/13, 41, 21, 9, 18, 
2025/1/14, 61, 29, 3, 17, 
2025/1/15, 76, 17, 13, 12, 
2025/1/16, 61, 16, 13, 11, 
2025/1/17, 59, 18, 12, 8, 
2025/1/18, 64, 26, 6, 12, 
2025/1/19, 82, 35, 1, 16, 
2025/1/20, 98, 40, 1, 18, 
2025/1/21, 105, 42, , 17, 
2025/1/22, 112, 26, 21, 8, 
2025/1/23, 77, 9, 23, 9, 
2025/1/24, 18, 20, 17, 14, 
2025/1/25, 33, 12, 32, 5, 
2025/1/26, 26, 6, 33, 2, 
2025/1/27, 11, 3, 27, 4, 
2025/1/28, 6, 6, 27, 7, 
2025/1/29, 10, 22, 25, 11, 
2025/1/30, 42, 11, 26, 8, 
2025/1/31, 24, 19, 21, 13, 
2025/2/1, 51, 17, 16, 10, 
2025/2/2, 54, 17, 11, 9, 
2025/2/3, 58, 18, 12, 10, 
2025/2/4, 57, 30, 9, 15, 
2025/2/5, 71, 26, 19, 9, 
2025/2/6, 71, 13, 22, 6, 
2025/2/7, 51, 29, 14, 15, 
2025/2/8, 81, 38, 8, 15, 
2025/2/9, 104, 49, 6, 14, 
2025/2/10, 133, 48, 3, 13, 
2025/2/11, 133, 24, 16, 12, 
2025/2/12, 77, 8, 15, 12, 
2025/2/13, 31, 21, 18, 7, 
2025/2/14, 70, 28, 23, 6, 
2025/2/15, 86, 23, 22, 5, 
2025/2/16, 75, 16, 26, 5, 
2025/2/17, 59, 27, 24, 10, 
2025/2/18, 68, 33, 21, 12, 
2025/2/19, 82, 37, 7, 15, 
2025/2/20, 94, 34, 21, 12, 
2025/2/21, 88, 26, 28, 12, 
2025/2/22, 66, 19, 29, 9, 
2025/2/23, 39, 15, 17, 11, 
2025/2/24, 35, 14, 19, 9, 
2025/2/25, 32, 8, 26, 5, 
2025/2/26, 21, 12, 29, 6, 
2025/2/27, 23, 9, 22, 7, 
2025/2/28, 17, 11, 25, 6, 
2025/3/1, 41, 9, 29, 5, 
2025/3/2, 37, 16, 26, 12, 
2025/3/3, 44, 29, 27, 15, 
2025/3/4, 58, 39, 27, 15, 
2025/3/5, 67, 41, 31, 15, 
2025/3/6, 72, 46, 34, 16, 
2025/3/7, 69, 43, 36, 15, 
2025/3/8, 81, 37, 36, 15, 
2025/3/9, 83, 35, 21, 13, 
2025/3/10, 78, 16, 23, 10, 
2025/3/11, 42, 13, 18, 9, 
2025/3/12, 46, 19, 23, 6, 
2025/3/13, 63, 14, 18, 7, 
2025/3/14, 42, 17, 25, 3, 
2025/3/15, 57, 16, 23, 4, 
2025/3/16, 58, 21, 30, 8, 
2025/3/17, 62, 15, 31, 6, 
2025/3/18, 33, 21, 29, 14, 
2025/3/19, 45, 38, 33, 14, 
2025/3/20, 67, 37, 31, 11, 
2025/3/21, 53, 24, 35, 6, 
2025/3/22, 44, 22, 30, 8, 
2025/3/23, 52, 12, 29, 8, 
2025/3/24, 31, 14, 29, 9, 
2025/3/25, 37, 34, 27, 7, 
2025/3/26, 80, 19, 30, 5, 
2025/3/27, 54, 20, 34, 9, 
2025/3/28, 52, 25, 26, 6, 
2025/3/29, 66, 16, 34, 4, 
2025/3/30, 49, 9, 29, 4, 
2025/3/31, 24, 17, 30, 4, 
2024/10/1, 17, 11, 23, 6, 
2024/10/2, 18, 16, 20, 4, 
2024/10/3, 26, 5, 21, 3, 
2024/10/4, 17, 6, 17, 4, 
2024/10/5, 16, 8, 16, 4, 
2024/10/6, 26, 10, 11, 6, 
2024/10/7, 25, 12, 14, 6, 
2024/10/8, 21, 9, 20, 6, 
2024/10/9, 13, 16, 27, 2, 
2024/10/10, 15, 7, 25, 5, 
2024/10/11, 10, 12, 24, 6, 
2024/10/12, 26, 7, 28, 3, 
2024/10/13, 18, 13, 12, 10, 
2024/10/14, 24, 17, 8, 8, 
2024/10/15, 44, 15, 7, 5, 
2024/10/16, 42, 20, 5, 8, 
2024/10/17, 43, 27, 1, 8, 
2024/10/18, 51, 21, 8, 7, 
2024/10/19, 49, 18, 12, 5, 
2024/10/20, 40, 19, 15, 7, 
2024/10/21, 41, 28, 13, 8, 
2024/10/22, 38, 17, 14, 7, 
2024/10/23, 28, 17, 4, 7, 
2024/10/24, 43, 19, 10, 6, 
2024/10/25, 41, 15, 8, 5, 
2024/10/26, 38, 16, 4, 5, 
2024/10/27, 51, 19, 14, 8, 
2024/10/28, 53, 24, 13, 9, 
2024/10/29, 47, 23, 13, 9, 
2024/10/30, 43, 21, 9, 5, 
2024/10/31, 53, 13, 9, 4, 
2024/11/1, 41, 15, 11, 3, 
2024/11/2, 49, 13, 15, 2, 
2024/11/3, 46, 17, 10, 5, 
2024/11/4, 56, 21, 4, 7, 
2024/11/5, 54, 31, 2, 9, 
2024/11/6, 60, 25, 5, 8, 
2024/11/7, 65, 17, 6, 5, 
2024/11/8, 52, 13, 3, 7, 
2024/11/9, 39, 18, 1, 8, 
2024/11/10, 54, 15, 4, 10, 
2024/11/11, 52, 13, 15, 5, 
2024/11/12, 43, 16, 13, 6, 
2024/11/13, 55, 16, 9, 7, 
2024/11/14, 54, 16, 13, 9, 
2024/11/15, 47, 23, 7, 10, 
2024/11/16, 63, 21, 19, 4, 
2024/11/17, 60, 7, 24, 2, 
2024/11/18, 20, 5, 25, 1, 
2024/11/19, 9, 7, 23, 5, 
2024/11/20, 11, 12, 23, 4, 
2024/11/21, 17, 8, 23, 5, 
